run,plane,paddle,type,histogram,hist_path,found,fit_ok,fit_status,entries,peak,peak_uncertainty,sigma,sigma_uncertainty,amplitude,amplitude_uncertainty,chi2,ndf,fit_low,fit_high,message,two_peaks_found,two_peak_fit_ok,seed_method,pedestal_peak,pedestal_peak_uncertainty,pedestal_sigma,pedestal_sigma_uncertainty,pedestal_amplitude,pedestal_amplitude_uncertainty,pedestal_chi2,pedestal_ndf,pedestal_fit_low,pedestal_fit_high,pedestal_fit_status,signal_peak,signal_peak_uncertainty,signal_sigma,signal_sigma_uncertainty,signal_amplitude,signal_amplitude_uncertainty,signal_chi2,signal_ndf,signal_fit_low,signal_fit_high,signal_fit_status,peak_separation,peak_separation_uncertainty,two_peak_message
35566,BHC,13,QDC,qdc_hit_BHC13left,BHC/Paddle13/QDC/qdc_hit_BHC13left,1,1,0,5319,136.39,0.27,13.29,0.27,93.08,2.32,83.37,54,109.47,165.53,ok,1,1,automatic broad-peak search,135.51,0.48,11.74,0.89,99.09,3.16,20.16,21,123.78,147.50,0,214.44,1.32,5.98,3.17,6.43,1.19,7.01,8,209.50,220.39,0,78.93,1.41,ok
35566,BHC,14,QDC,qdc_hit_BHC14left,BHC/Paddle14/QDC/qdc_hit_BHC14left,1,1,0,3645,147.60,0.34,13.55,0.33,57.87,1.78,51.03,58,113.93,175.07,ok,1,1,automatic broad-peak search,148.57,0.65,10.79,1.33,63.63,2.75,13.97,17,138.50,158.35,0,209.50,3.80,7.91,3.42,5.80,0.94,11.63,10,201.50,213.50,0,60.93,3.85,ok
35566,BHC,15,QDC,qdc_hit_BHC15left,BHC/Paddle15/QDC/qdc_hit_BHC15left,1,1,0,2730,149.43,0.30,11.82,0.29,58.03,1.91,61.68,54,120.47,176.53,ok,1,0,automatic broad-peak search,149.27,0.65,11.24,1.35,61.78,2.65,18.38,18,139.32,159.50,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,pedestal: ok (refined symmetric core); signal: could not construct symmetric core window
35566,BHC,00,TDC,tdc_coinc_left_BHC00-RF,BHC/Paddle00/TDC/tdc_coinc_left_BHC00-RF,1,1,0,1981,-408.81,0.70,2.79,0.56,20,1.87,15.25,10,-413.75,-407.75,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,01,TDC,tdc_coinc_left_BHC01-RF,BHC/Paddle01/TDC/tdc_coinc_left_BHC01-RF,1,1,0,2663,-406.06,0.30,4.62,0.41,37.87,1.98,26.07,20,-410.98,-399.52,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,02,TDC,tdc_coinc_left_BHC02-RF,BHC/Paddle02/TDC/tdc_coinc_left_BHC02-RF,1,1,0,3662,-406.65,0.12,3.84,0.09,55.98,2.09,39.12,42,-420.63,-393.87,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,03,TDC,tdc_coinc_left_BHC03-RF,BHC/Paddle03/TDC/tdc_coinc_left_BHC03-RF,1,1,0,11325,-405.27,0.07,3.87,0.04,179.12,3.63,127.26,52,-419.90,-390.60,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,04,TDC,tdc_coinc_left_BHC04-RF,BHC/Paddle04/TDC/tdc_coinc_left_BHC04-RF,1,1,0,70841,-408.64,0.03,3.67,0.01,1200.71,9.36,1153.75,54,-422.76,-394.74,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,05,TDC,tdc_coinc_left_BHC05-RF,BHC/Paddle05/TDC/tdc_coinc_left_BHC05-RF,1,1,0,88062,-407.43,0.02,3.67,0.01,1528.36,10.63,1122.52,50,-419.63,-392.87,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,06,TDC,tdc_coinc_left_BHC06-RF,BHC/Paddle06/TDC/tdc_coinc_left_BHC06-RF,1,1,0,120004,-406.10,0.02,3.67,0.01,2068.90,12.34,1553.48,54,-418.76,-390.74,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,07,TDC,tdc_coinc_left_BHC07-RF,BHC/Paddle07/TDC/tdc_coinc_left_BHC07-RF,1,1,0,150106,-406.10,0.02,3.69,0.01,2606.59,13.83,1456.80,54,-419.76,-391.74,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,08,TDC,tdc_coinc_left_BHC08-RF,BHC/Paddle08/TDC/tdc_coinc_left_BHC08-RF,1,1,0,153610,-403.66,0.02,3.68,0.01,2673.99,14.05,1611.84,54,-417.26,-389.24,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,09,TDC,tdc_coinc_left_BHC09-RF,BHC/Paddle09/TDC/tdc_coinc_left_BHC09-RF,1,1,0,124040,-404.63,0.02,3.67,0.01,2149.72,12.56,1580.70,56,-417.90,-388.60,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
35566,BHC,10,TDC,tdc_coinc_left_BHC10-RF,BHC/Paddle10/TDC/tdc_coinc_left_BHC10-RF,1,1,0,91934,-404.27,0.02,3.68,0.01,1585.34,10.80,1140.84,54,-417.26,-389.24,ok,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-999,nan,nan,not applicable for TDC
