plane,paddle,n_points,fit_status,intercept_channels,intercept_uncertainty_channels,slope_channels_per_V,slope_uncertainty_channels_per_V,chi2,ndf
BHD,4,4,0,537.320862,0.693521,142.725886,1.181489,14.421992,2.000000
BHD,5,4,0,420.386430,0.486827,107.827120,0.829698,21.705554,2.000000
BHD,6,4,0,495.013463,0.500380,125.860872,0.903847,1.332254,2.000000
BHD,7,4,0,451.680116,0.461573,121.260797,0.768204,40.907678,2.000000
BHD,8,4,0,524.068106,0.659444,-2.990344,1.185810,21.919118,2.000000
