plane,paddle,n_points,fit_status,intercept_channels,intercept_uncertainty_channels,slope_channels_per_V,slope_uncertainty_channels_per_V,chi2,ndf
BHC,4,4,0,253.213785,0.403925,58.306984,0.712475,0.641604,2.000000
BHC,5,4,0,293.209826,0.449626,111.489368,0.821111,12.932688,2.000000
BHC,6,4,0,278.469022,0.382924,101.289692,0.689855,44.713329,2.000000
BHC,7,4,0,215.773732,0.344537,73.345052,0.616520,19.543984,2.000000
BHC,8,4,0,234.234321,0.377121,79.320637,0.688809,84.710655,2.000000
BHC,9,4,0,202.977734,0.643720,67.876027,1.116261,7.528805,2.000000
BHC,10,4,0,236.877613,0.383945,85.373416,0.675547,22.607302,2.000000
BHC,11,4,0,273.725299,0.401689,59.729372,0.699294,4.899804,2.000000
